,revid,parentid,timestamp,user,temp,comment,size,sha1,flags,intro_text,minor
0,1342701926,1342701468,2026-03-10T08:12:04Z,Oklopfer,False,,35895,c4905912137266918890c9cfa1e66924252d4ac2,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
1,1342701468,1342701303,2026-03-10T08:07:29Z,Oklopfer,False,,35687,f554993419d55f54ccdeed03a0e0cd4f97aeca43,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
2,1342701303,1340653228,2026-03-10T08:05:32Z,Æ's old account wasn't working,False,,35718,2d1579e7b50bf87367fe460ca446c3f93bf9af82,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
3,1340653228,1340369131,2026-02-26T22:50:23Z,Scarecroe,False,,35687,f554993419d55f54ccdeed03a0e0cd4f97aeca43,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",True
4,1340369131,1339689953,2026-02-25T09:00:19Z,OmegaAOL,False,,35746,576b20fcc7e4bc235dd02316fdb579eb9e11811e,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
5,1339689953,1339653241,2026-02-21T21:44:47Z,Oklopfer,False,,35687,f554993419d55f54ccdeed03a0e0cd4f97aeca43,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
6,1339653241,1339555472,2026-02-21T17:19:37Z,Speedrunz,False,,35722,49b139bdeda0decf6fa2b3004e5acb7f5795128c,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
7,1339555472,1339546635,2026-02-21T03:50:14Z,Oklopfer,False,,35687,f554993419d55f54ccdeed03a0e0cd4f97aeca43,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
8,1339546635,1339543955,2026-02-21T02:46:56Z,AnomieBOT,False,,35688,7f48854c67ca743d17355a118514086d3affe46c,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",True
9,1339543955,1339406855,2026-02-21T02:26:51Z,Georgia guy,False,,35669,832be37db1cbb74734956d08673c91baa30f82ce,,"X, or x, is the twenty-fourth letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide. Its name in English is ex (pronounced ), plural exes.""X"", Oxford English Dictionary, 2nd edition (1989); Merriam-Webster's Third New International Dictionary of the English Language, Unabridged (1993); ""ex"", op. cit.",False
